unnamed_0,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,age,vo2_max,bmi,n_marathons_run,cadence
5363,03:26:40,nan,5345,Vaida,Female,3,5,0,30,12.71832329,19.05,0,157
11420,03:26:37,nan,11387,Melissa,Female,5,6,0,38,13.46,21.13,0,165
9408,03:21:11,Absolute 545 RunClub,9384,James,Male,0,1,0,38,20.01,18.86,0,154
6604,03:20:41,nan,6585,Cheryl,Female,0,4,0,43,12.71832329,19.75,0,166
14648,03:18:24,nan,14601,Joanne,Female,5,5,0,42,21.03,19.73,0,167
3156,03:18:24,nan,3146,Diane,Female,5,5,0,32,14.47,22.0,0,155
1961,03:18:23,nan,1958,Honor,Female,2,7,0,41,20.72,19.35,0,157
11419,03:18:23,nan,11386,Linda,Female,0,0,0,33,12.71832329,20.11,0,157
11418,03:18:22,nan,11385,Sky,Female,4,5,0,37,12.18,18.19,0,165
4663,03:18:21,nan,4646,Gemma,Female,0,0,0,34,13.3,17.86,0,154
8060,03:11:02,nan,8038,Christopher,Male,2,2,0,37,11.84,19.05,0,157
8059,03:11:02,nan,8037,Ryan,Male,5,5,0,41,10.93,19.9,0,156
9679,03:09:36,nan,9652,Michelle,Female,6,6,0,39,15.61,21.69,0,159
7447,03:09:36,nan,7425,Caroline,Female,1,1,0,39,14.31,19.42,0,159
3155,03:05:45,2 Dash,3145,Sam,Male,3,3,0,32,12.71832329,21.57,0,158
8058,03:04:39,nan,8036,Anthony,Male,0,4,0,43,11.69,18.94,0,158
11417,03:04:38,nan,11384,Alistair,Male,1,7,0,41,27.77,23.22,0,161
6603,03:04:38,nan,6584,Abi,Male,0,2,0,32,13.02,19.96,0,167
1960,03:04:37,nan,1957,Jake,Male,1,2,0,51,12.71832329,21.76,0,161
3154,03:04:37,nan,3144,Ben,Male,0,6,0,40,21.47,19.62,0,164
9407,03:04:36,nan,9383,Albie,Male,5,5,0,38,27.75,19.51,0,166
4169,03:03:54,nan,4156,Angela,Female,1,2,0,33,15.68,18.01,0,153
11416,03:03:15,nan,11383,Ilar,Male,0,1,0,30,14.06,20.78,0,166
7094,03:01:07,nan,7072,Nelson,Male,0,2,0,43,17.69,20.25,0,161
4662,02:59:58,nan,4645,John,Male,0,3,0,34,12.71832329,21.83,0,163
3842,02:59:53,nan,3830,Laura,Female,3,3,0,28,14.64,22.08,0,160
9406,02:59:52,Uckfield Runners,9382,Paul,Male,4,4,0,38,12.71832329,19.96,0,151
3153,02:58:16,nan,3143,Joanne,Female,0,2,0,40,25.11,20.38,0,164
1959,02:57:38,nan,1956,Karina,Female,5,5,0,44,18.71,22.9,0,160
11415,02:57:05,nan,11382,John,Male,1,5,0,36,12.71832329,21.34,0,1
